Country Name,Country Code,Year,Agriculture (% GDP),Ease of Doing Business,Education Expenditure (% GDP),Export (% GDP),GDP,Health Expenditure (% GDP),Import (% GDP),Industry (% GDP),Inflation Rate,R&D,Service (% GDP),Unemployment,Population,Land,Continent Name,Export,Import,Education Expenditure,Health Expenditure,Net Trade,GDP Per Capita,Population Density,Cluster
Brazil,BRA,2022,6.81318197126279,56.827378,13.936185134084608,20.045538006281,1920095560995.06,8.551063401428573,19.2944556126532,20.6976228826191,9.2801060895687,21547235540.07882,58.9099871277796,9.461,215313498.0,8515770.0,South America,384893485436.1792,370471985736.71625,267588072131.612,164188588788.70322,14421499699.462952,8917.673897969276,25.28409034062686,11
British Virgin Islands,VGB,2022,10.029778261034568,61.26969371428571,14.3296022415161,47.702334951628586,469968940773.676,6.191188366634045,54.15520118836773,26.314817370570445,11.184434281508253,12363575558.824837,55.44930151833184,7.458547595773403,31305.0,150.0,North America,154086630779.6377,151001996134.0112,66009276596.85556,46703212159.75045,3084634645.6265173,19006.1493704766,208.7,9
Brunei Darussalam,BRN,2022,1.09616029704876,65.53769600000001,9.092996756235769,86.3893569229457,16681531645.7347,2.2474406619047618,60.584609231513,67.9255854818627,3.68225030604209,14553802.294438202,32.5201825371859,7.203,449002.0,5770.0,Asia,14411067913.647886,10106440761.399548,1516851131.4370992,374907525.2347522,4304627152.248339,37152.46623786687,77.81663778162911,4
Bulgaria,BGR,2022,4.39944735523894,71.905592,10.816048526763916,68.5434948352448,89040398406.3745,7.055295036666665,67.7399268208132,25.9859766295137,15.3252589264366,535180709.4417347,57.6606835515456,4.402,6465097.0,110998.09523809524,Europe,61031400882.9547,60315900721.43861,9630652700.05739,6282062809.393164,715500161.5160904,13772.476794450957,58.24511660431754,9
Burkina Faso,BFA,2022,20.4000343919907,51.078568,21.9580974578857,18.171558729532133,18884619613.4388,4.707103626190476,28.27154058597316,29.3262670009789,14.2902354303358,43291732.156354725,40.9150777896183,5.175,22673762.0,274220.0,Africa,3431629743.904776,5338972898.519998,4146703179.26989,888918614.6164556,-1907343154.6152213,832.8842656740774,82.6845671358763,5
Burundi,BDI,2022,27.5667137824053,46.083270000000006,20.6370830535889,4.97109856996645,3073414677.84385,8.01927770952381,23.3442214236487,10.6377877568045,18.8008786664944,4882324.0999181,45.3736022424045,1.02,12889576.0,27830.0,Africa,152782473.0994346,717464727.6627878,634263139.647827,246465658.18156487,-564682254.5633532,238.4418756554793,463.1540064678405,1
Cabo Verde,CPV,2022,3.6883996976215,53.97336399999999,16.83806048499214,38.4892233239235,2314816792.06291,4.713205076666666,57.0094904522565,16.8037124399938,1.5781364831110094,1681482.9588155097,56.6719333238351,13.57,593149.0,4030.0,Africa,890955004.6367753,1319665258.058335,389770251.5643076,109102062.55904154,-428710253.4215598,3902.589049400589,147.1833746898263,9
Cambodia,KHM,2022,21.8692571046504,53.41262400000001,12.7159272564782,77.581781813023,29956769529.428,6.709669045238095,84.8311118120145,37.6674979752016,5.34370264895435,25168180.10334768,33.7353715954996,0.361,16767842.0,181040.0,Asia,23240995574.55099,25412660654.77656,3809281021.752891,2010000092.0693483,-2171665080.2255707,1786.560818585242,92.61954264250994,2
Cameroon,CMR,2022,16.9784357299602,44.163128,12.5704832077026,19.4123124396723,44341646509.2193,3.734955993333333,20.5009031682376,25.4800317532592,6.24767713343868,12363575558.824837,50.4084974704298,4.001,27914536.0,475440.0,Africa,8607738961.264696,9090438014.057257,5573959228.460258,1656140983.8387668,-482699052.7925606,1588.4787233869586,58.7130573784284,2
Canada,CAN,2022,1.823739107908431,79.583546,12.082511742909746,33.7184874326734,2139840023673.81,10.150308565454548,33.5439527000462,26.864927490882145,6.80280115341612,39014673771.80391,64.6010144123475,5.209,38929902.0,9879750.0,North America,721521689461.769,717786925397.8002,258546422139.8708,217200365209.9874,3734764063.968872,54966.48883610881,3.940373187580658,11
